"Začiatok vykazovania","Koniec vykazovania","Názov kampane","Doručenie kampane","Nastavenie pričítania",Výsledky,"Result indicator",Dosah,Frekvencia,"Cena za výsledky","Rozpočet zostavy reklám","Typ rozpočtu zostavy reklám","Minutá suma (EUR)",Koniec,Impresie,"CPM (cena za 1000 impresií) (EUR)","Kliknutia na odkaz",shop_clicks,"CPC (cena za kliknutie na odkaz) (EUR)","CTR (miera prekliknutia odkazu)","Kliknutia (všetky)","CTR (všetko)","CPC (all) (EUR)","Pozretia cieľovej stránky","Cena za pozretie cieľovej stránky (EUR)","Results (initial)","Results (initial) indicator"
2026-07-13,2026-07-13,"FilipZ | Sales | TOF",inactive,"Multiple attribution settings",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-13,2026-07-13,"FilipZ | Traffic | LPV",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-13,2026-07-13,"FilipZ | Traffic | Page likes",inactive,"1-day click",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-12,2026-07-12,"(H) Promo postu",completed,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,2026-06-29,0,0,,,,,0,0,0,,,,
2026-07-12,2026-07-12,"(H) Konverze",active,"7-day click, 1-day view, or 1-day engaged-view",5,actions:offsite_conversion.fb_pixel_purchase,3515,1.900996,7.036,"Using ad set budget",0,35.18,Prebieha,6682,5.264891,76,,0.462895,1.137384,158,2.364562,0.222658,57,0.617193,,
2026-07-12,2026-07-12,"Filip | Sales | RMKT",inactive,"7-day click or 1-day engaged-view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-12,2026-07-12,"FilipZ | Sales | TOF",inactive,"Multiple attribution settings",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-12,2026-07-12,"FilipZ | Traffic | LPV",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-12,2026-07-12,"FilipZ | Traffic | Page likes",inactive,"1-day click",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-11,2026-07-11,"(H) Promo postu",completed,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,2026-06-29,0,0,,,,,0,0,0,,,,
2026-07-11,2026-07-11,"(H) Konverze",active,"7-day click, 1-day view, or 1-day engaged-view",2,actions:offsite_conversion.fb_pixel_purchase,2906,1.95148,15,"Using ad set budget",0,30,Prebieha,5671,5.290072,61,,0.491803,1.075648,134,2.362899,0.223881,40,0.75,,
2026-07-11,2026-07-11,"Filip | Sales | RMKT",inactive,"7-day click or 1-day engaged-view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-11,2026-07-11,"FilipZ | Sales | TOF",inactive,"Multiple attribution settings",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-11,2026-07-11,"FilipZ | Traffic | LPV",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-11,2026-07-11,"FilipZ | Traffic | Page likes",inactive,"1-day click",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-10,2026-07-10,"(H) Promo postu",completed,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,2026-06-29,0,0,,,,,0,0,0,,,,
2026-07-10,2026-07-10,"(H) Konverze",active,"7-day click, 1-day view, or 1-day engaged-view",2,actions:offsite_conversion.fb_pixel_purchase,3706,1.972747,17.625,"Using ad set budget",0,35.25,Prebieha,7311,4.821502,82,,0.429878,1.121598,166,2.270551,0.212349,55,0.640909,,
2026-07-10,2026-07-10,"Filip | Sales | RMKT",inactive,"7-day click or 1-day engaged-view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-10,2026-07-10,"FilipZ | Sales | TOF",inactive,"Multiple attribution settings",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-10,2026-07-10,"FilipZ | Traffic | LPV",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-10,2026-07-10,"FilipZ | Traffic | Page likes",inactive,"1-day click",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-09,2026-07-09,"(H) Promo postu",completed,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,2026-06-29,0,0,,,,,0,0,0,,,,
2026-07-09,2026-07-09,"(H) Konverze",active,"7-day click, 1-day view, or 1-day engaged-view",4,actions:offsite_conversion.fb_pixel_purchase,5431,1.948444,12.415,"Using ad set budget",0,49.66,Prebieha,10582,4.692875,112,,0.443393,1.058401,289,2.731053,0.171834,63,0.788254,,
2026-07-09,2026-07-09,"Filip | Sales | RMKT",inactive,"7-day click or 1-day engaged-view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-09,2026-07-09,"FilipZ | Sales | TOF",inactive,"Multiple attribution settings",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-09,2026-07-09,"FilipZ | Traffic | LPV",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-09,2026-07-09,"FilipZ | Traffic | Page likes",inactive,"1-day click",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-08,2026-07-08,"(H) Promo postu",completed,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,2026-06-29,0,0,,,,,0,0,0,,,,
2026-07-08,2026-07-08,"(H) Konverze",active,"7-day click, 1-day view, or 1-day engaged-view",5,actions:offsite_conversion.fb_pixel_purchase,4230,1.938298,7.342,"Using ad set budget",0,36.71,Prebieha,8199,4.477375,87,,0.421954,1.061105,270,3.293085,0.135963,65,0.564769,,
2026-07-08,2026-07-08,"Filip | Sales | RMKT",inactive,"7-day click or 1-day engaged-view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-08,2026-07-08,"FilipZ | Sales | TOF",inactive,"Multiple attribution settings",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-08,2026-07-08,"FilipZ | Traffic | LPV",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-08,2026-07-08,"FilipZ | Traffic | Page likes",inactive,"1-day click",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-07,2026-07-07,"(H) Promo postu",completed,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,2026-06-29,0,0,,,,,0,0,0,,,,
2026-07-07,2026-07-07,"(H) Konverze",active,"7-day click, 1-day view, or 1-day engaged-view",4,actions:offsite_conversion.fb_pixel_purchase,3812,2.007083,8.45,"Using ad set budget",0,33.8,Prebieha,7651,4.417723,77,,0.438961,1.006404,162,2.11737,0.208642,55,0.614545,,
2026-07-07,2026-07-07,"Filip | Sales | RMKT",inactive,"7-day click or 1-day engaged-view",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
2026-07-07,2026-07-07,"FilipZ | Sales | TOF",inactive,"Multiple attribution settings",,,0,0,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,
